County_Fip,County_Name,Average_House_Value,Average_RE_Tax,Average_RE_Tax_Per_$1000,Lowest_Tract,Highest_Tract,High-Low_Ratio
01051,"Elmore County, Alabama","163,436",432,2.6,2.1,3.7,1.8
01053,"Escambia County, Alabama","109,632",365,3.3,2.1,4.5,2.2
01055,"Etowah County, Alabama","126,105",461,3.7,2.5,5.3,2.1
01057,"Fayette County, Alabama","121,420",253,2.1,1.0,3.2,3.2
01059,"Franklin County, Alabama","108,643",357,3.3,2.4,4.4,1.9
01061,"Geneva County, Alabama","106,855",304,2.8,2.6,3.1,1.2
01063,"Greene County, Alabama","90,465",218,2.4,1.5,2.8,1.9
01065,"Hale County, Alabama","114,496",308,2.7,2.4,3.9,1.7
01067,"Henry County, Alabama","123,322",383,3.1,2.2,4.3,2.0
01069,"Houston County, Alabama","149,841",444,3.0,2.2,3.7,1.7
01071,"Jackson County, Alabama","125,296",342,2.7,2.2,3.3,1.5
01073,"Jefferson County, Alabama","190,524","1,244",6.5,1.7,9.8,5.7
01075,"Lamar County, Alabama","86,114",363,4.2,2.7,5.5,2.1
01077,"Lauderdale County, Alabama","155,338",583,3.8,1.5,4.8,3.3
01079,"Lawrence County, Alabama","119,593",324,2.7,1.6,4.0,2.5
01081,"Lee County, Alabama","177,449",845,4.8,3.6,5.7,1.6
01083,"Limestone County, Alabama","167,703",593,3.5,2.1,4.7,2.2
01085,"Lowndes County, Alabama","113,730",476,4.2,2.8,5.3,1.9
01087,"Macon County, Alabama","94,006",389,4.1,2.4,5.0,2.1
01089,"Madison County, Alabama","200,136",898,4.5,2.1,5.8,2.8
01091,"Marengo County, Alabama","117,697",350,3.0,2.0,3.7,1.9
01093,"Marion County, Alabama","102,396",287,2.8,1.8,3.7,2.1
01095,"Marshall County, Alabama","147,981",502,3.4,2.5,6.0,2.4
01097,"Mobile County, Alabama","156,659",779,5.0,0.9,7.9,8.8
01099,"Monroe County, Alabama","94,379",286,3.0,2.0,4.1,2.0
01101,"Montgomery County, Alabama","162,788",591,3.6,0.6,6.8,11.1
01103,"Morgan County, Alabama","143,617",493,3.4,2.4,4.9,2.0
01105,"Perry County, Alabama","83,986",209,2.5,2.0,4.4,2.2
01107,"Pickens County, Alabama","108,217",283,2.6,2.2,3.1,1.4
01109,"Pike County, Alabama","132,487",355,2.7,1.8,3.1,1.7
01111,"Randolph County, Alabama","135,324",354,2.6,2.3,3.2,1.4
01113,"Russell County, Alabama","134,489",535,4.0,2.6,5.6,2.2
01115,"St. Clair County, Alabama","152,929",448,2.9,2.3,3.7,1.6
01117,"Shelby County, Alabama","229,937","1,116",4.9,1.9,7.0,3.6
01119,"Sumter County, Alabama","116,392",267,2.3,1.6,3.0,1.9
01121,"Talladega County, Alabama","125,146",384,3.1,1.3,6.3,4.8
01123,"Tallapoosa County, Alabama","158,113",489,3.1,2.4,3.8,1.5
01125,"Tuscaloosa County, Alabama","177,566",649,3.7,2.3,6.5,2.9
01127,"Walker County, Alabama","108,176",294,2.7,1.8,4.0,2.2
01129,"Washington County, Alabama","103,437",315,3.0,2.5,3.6,1.5
01131,"Wilcox County, Alabama","94,638",277,2.9,2.1,3.4,1.6
01133,"Winston County, Alabama","121,658",326,2.7,2.0,3.9,1.9
05001,"Arkansas County, Arkansas","99,727",560,5.6,4.0,7.1,1.8
05003,"Ashley County, Arkansas","85,403",460,5.4,3.9,7.1,1.8
05005,"Baxter County, Arkansas","150,754",789,5.2,4.2,6.1,1.5
05007,"Benton County, Arkansas","184,223","1,414",7.7,5.9,10.6,1.8
05009,"Boone County, Arkansas","143,365",718,5.0,4.2,6.1,1.4
